,AB1_count,AB1_25%,AB1_50%,AB1_75%,AB1_mean,AB2_count,AB2_25%,AB2_50%,AB2_75%,AB2_mean,AF1_count,AF1_25%,AF1_50%,AF1_75%,AF1_mean,AF2_count,AF2_25%,AF2_50%,AF2_75%,AF2_mean,BC_count,BC_25%,BC_50%,BC_75%,BC_mean,CFI_count,CFI_25%,CFI_50%,CFI_75%,CFI_mean,CFR_count,CFR_25%,CFR_50%,CFR_75%,CFR_mean,FM_count,FM_25%,FM_50%,FM_75%,FM_mean,HI_count,HI_25%,HI_50%,HI_75%,HI_mean,HR_count,HR_25%,HR_50%,HR_75%,HR_mean,OT1_count,OT1_25%,OT1_50%,OT1_75%,OT1_mean,RT_count,RT_25%,RT_50%,RT_75%,RT_mean,SL1_count,SL1_25%,SL1_50%,SL1_75%,SL1_mean,SL2_count,SL2_25%,SL2_50%,SL2_75%,SL2_mean,tl_mean,tl_25%,tl_50%,tl_75%,pc_count,pc_mean,pc_25%,pc_50%,pc_75%,totalbal_mean,totalbal_25%,totalbal_50%,totalbal_75%,AB1_perc,AB2_perc,AF1_perc,AF2_perc,BC_perc,CFI_perc,CFR_perc,FM_perc,HI_perc,HR_perc,OT1_perc,RT_perc,SL1_perc,SL2_perc,AB1_tl,AB2_tl,AF1_tl,AF2_tl,BC_tl,CFI_tl,CFR_tl,FM_tl,HI_tl,HR_tl,OT1_tl,RT_tl,SL1_tl,SL2_tl
balance,20712.0,0.0,5672.0,13496.5,8722.109405175743,367903.0,3407.0,9623.0,17157.0,11940.504581370633,56559.0,3146.5,7847.0,14415.0,10369.571827649004,400222.0,4301.0,10618.0,18059.0,12638.638917900566,1631848.0,196.0,1352.0,5031.0,4914.694168206843,166058.0,335.0,1719.0,5115.0,3879.874796757759,905880.0,0.0,0.0,302.0,616.1072062524838,704132.0,58572.0,107876.0,180794.0,146239.6884007544,104534.0,8536.0,22903.0,40904.5,34433.090276847724,214449.0,25.0,19350.0,44033.0,36010.856478696565,503134.0,0.0,616.0,6983.0,9074.365791220629,1243475.0,0.0,0.0,349.0,455.45487685719456,75189.0,4121.0,9180.0,19598.0,16548.01802125311,186595.0,2780.0,7302.0,16984.0,14049.965288458961,7.0429097975327855,3.0,6.0,10.0,1974048.0,3.333601817179724,2.0,3.0,5.0,72304.52706469144,1319.0,15841.0,95210.0,0.010492146087633127,0.1863698349786834,0.02865127899625541,0.2027417773022743,0.8266506184246787,0.08412054823388286,0.45889461654427854,0.3566944674091005,0.052954132827570555,0.10863413655595,0.2548742482452301,0.6299112280957707,0.03808873948353839,0.09452404399487753,23112,468228,66450,484746,5156412,264998,1523981,852049,114472,245437,741255,3347921,185128,428853
balance,20758.0,0.0,5219.0,13249.75,8508.601792080162,371866.0,3445.0,9725.5,17348.0,12075.890490122787,57322.0,2723.25,7685.0,14200.75,10112.454083946826,402379.0,4168.5,10539.0,17996.0,12558.54158144436,1643303.0,191.0,1345.0,5032.0,4922.674160516959,166274.0,360.0,1749.0,5179.0,3918.219420955772,913443.0,0.0,0.0,304.0,619.5369212966764,708217.0,57910.0,107390.0,180579.0,145949.39447372768,105680.0,9058.75,23284.0,41883.5,34912.42881339894,216468.0,0.0,19202.0,43997.0,35893.40259992239,500254.0,0.0,696.0,7231.75,9299.35871177442,1245400.0,0.0,0.0,354.0,459.6427509233981,75504.0,4165.5,9222.5,19712.25,16669.23818605637,187788.0,2720.0,7221.0,16914.0,13986.844340426438,7.025270442256625,3.0,6.0,10.0,1988687.0,3.326142324056023,2.0,3.0,5.0,72178.19901170973,1298.0,15719.0,94530.0,0.010438042789036183,0.18699071296790296,0.028824043200362852,0.20233400228391898,0.8263256108175897,0.08360993962348022,0.45931964155244137,0.35612290923609397,0.05314058974589767,0.1088497083754256,0.25154989196389377,0.6262423397950507,0.03796675897212583,0.0944281327328031,23190,474505,67250,488515,5201688,265213,1541791,853220,115245,245344,736505,3341665,183628,433305
balance,20538.0,0.0,5130.0,13223.25,8517.513097672607,371651.0,3548.0,9834.0,17552.0,13044.66596618871,59131.0,2298.0,7458.0,14010.0,9911.621078622042,402103.0,3908.0,10419.0,17901.0,12420.492774239436,1641746.0,197.0,1360.0,5061.0,4935.466330967153,163400.0,376.0,1767.0,5215.0,3952.5614749082006,913131.0,0.0,0.0,303.0,622.9543471856722,707977.0,58291.0,108180.0,182384.0,147519.8507183143,106127.0,8991.5,23382.0,42013.5,34793.884939742005,217779.0,0.0,19239.0,44315.0,36058.58670487053,497138.0,0.0,709.0,7300.0,9328.463694185519,1237390.0,0.0,0.0,352.0,457.55343666911807,78860.0,4345.75,9250.0,19751.0,16682.427567841743,189071.0,2625.0,7027.0,16698.5,13788.609855556908,7.003181469062592,3.0,6.0,10.0,1986818.0,3.3249356508749166,2.0,3.0,5.0,72997.73312955692,1293.0,15731.0,95098.0,0.010337132037257564,0.18705840192710152,0.029761659095095778,0.20238542231850123,0.8263192703106172,0.08224205740032554,0.45959468859251323,0.35633711794437134,0.053415561968937264,0.10961195237812421,0.2502181880776196,0.6227998739693319,0.039691607384269724,0.09516271747085038,22951,474081,70135,488637,5211112,262367,1545756,855035,115502,247573,729854,3266551,194849,429644
balance,20538.0,0.0,5066.0,13119.75,8466.410458661992,372554.0,3557.0,9846.0,17583.0,12250.452822946472,59061.0,2310.0,7470.0,14024.0,9905.242173346202,395307.0,4317.0,10649.0,18085.0,12641.87996165006,1641159.0,185.0,1323.0,4940.0,4619.354029682681,162163.0,383.0,1773.0,5225.0,3958.589974285133,914288.0,0.0,0.0,301.0,625.1942210769473,710441.0,58532.0,108758.0,183945.0,148945.03830859988,106825.0,9027.0,23298.0,41164.0,33955.564643107886,227514.0,7.0,19827.5,45600.0,37090.057253619554,501195.0,0.0,639.0,7157.0,9246.238946916868,1240294.0,0.0,0.0,353.0,458.88073392276345,84765.0,4063.0,9000.0,19432.0,16472.621482923376,190018.0,2625.0,7000.0,16665.0,13749.892147059752,6.973298459516865,3.0,6.0,10.0,1993855.0,3.3232717524594317,2.0,3.0,5.0,73330.17259780676,1267.0,15655.0,95188.0,0.010300648743263677,0.18685110000476465,0.0296215120959147,0.19826266202908435,0.8231085008689197,0.08133139069791935,0.45855290379691604,0.35631527869378665,0.05357711568795123,0.11410759558744242,0.2513698338143947,0.6220582740470094,0.04251312156601157,0.09530181482605304,22941,474565,70018,477997,5162768,259880,1546093,857081,116106,257580,735126,3279804,208441,435346
balance,20525.0,0.0,4764.0,12898.0,8273.699196102314,372348.0,3625.0,9873.0,17585.0,12278.394026555803,59135.0,2298.0,7467.0,13954.0,9887.813291620867,393518.0,4400.0,10735.5,18208.0,12770.356840093718,1649825.0,180.0,1307.0,4894.0,4585.230928128741,162523.0,362.0,1722.0,5145.0,3865.082640610867,926118.0,0.0,0.0,306.0,627.6507334918444,713249.0,59068.0,109628.0,185556.0,150498.9350058675,107743.0,8978.0,23291.0,41398.5,33939.727109881846,231097.0,3.0,19723.0,45624.0,37115.10250241241,503553.0,0.0,583.0,7169.0,9297.896706007114,1248825.0,0.0,0.0,355.0,461.04100174163716,88462.0,3933.0,8837.0,19042.0,16122.025864212883,193835.0,2625.0,6973.0,16626.5,13716.219655892899,6.94070509551827,3.0,6.0,10.0,2010139.0,3.3185545875185745,2.0,3.0,5.0,73649.52945741563,1244.0,15494.0,95219.0,0.010210736670449158,0.1852349514138077,0.0294183636057009,0.19576656141689705,0.8207516992605984,0.0808516226987288,0.46072336291171906,0.35482571105779254,0.05359977593589299,0.11496568147774855,0.2505065570092416,0.6212630071850752,0.044007901941109547,0.09642865493381303,22933,472882,69886,477671,5166106,258563,1573221,858193,117123,261351,734551,3280489,214620,444193
balance,20399.0,0.0,4563.0,12762.0,8168.167361145154,373687.0,3614.5,9868.0,17576.0,12267.133191681809,59660.0,2222.75,7398.5,13854.0,9783.281629232317,396444.0,4146.0,10525.0,17956.0,12492.226614603827,1661469.0,202.0,1368.0,4968.0,4621.922245916114,163936.0,362.0,1729.0,5206.25,3875.5633112922114,923249.0,0.0,0.0,341.0,646.4845518381281,715005.0,59365.0,110173.0,186904.0,151634.60872301593,110742.0,8937.0,23368.0,41866.5,34020.86427913529,235214.0,0.0,19518.0,45544.75,36935.3451750321,505306.0,0.0,600.0,7143.0,9325.018663938286,1256968.0,0.0,0.0,394.0,484.4591532958675,86822.0,3661.25,8355.0,18374.0,15548.192266936952,197879.0,2625.0,7027.0,16915.5,14020.793823498198,6.905936684377388,3.0,6.0,10.0,2027209.0,3.308381128931452,2.0,3.0,5.0,73755.71842765102,1263.0,15253.0,94828.0,0.010062603313225227,0.18433570490265186,0.029429624671161187,0.19556148379372823,0.8195844631707929,0.08086783355835535,0.45542862132123524,0.3527041365739793,0.054627815878875836,0.11602849040232162,0.2492619162602376,0.6200485495082155,0.042828341823660014,0.09761154375301215,22796,473401,70657,479785,5194170,263546,1562052,859150,120707,266350,737954,3293135,207354,448720
balance,20173.0,0.0,4609.0,12798.0,8174.441530758935,375006.0,3415.25,9740.0,17496.0,12170.972240444153,58412.0,2683.75,7768.0,14128.25,10096.597034855851,392168.0,4376.0,10649.0,18027.0,12627.950875645132,1663214.0,206.0,1399.0,5062.0,4676.870461648351,163474.0,384.0,1771.0,5269.0,3959.9664778496885,927682.0,0.0,0.0,355.0,655.7070375408815,716125.0,59815.0,111090.0,188565.0,153312.86852853902,110091.0,9042.5,23671.0,43040.5,34602.06762587314,235107.0,0.0,19570.0,45881.0,37089.4668427567,500225.0,0.0,586.0,6975.0,9169.385966315158,1261615.0,0.0,0.0,404.0,496.3268191960305,85743.0,3683.0,8453.0,18500.0,15637.49738171046,198767.0,2717.0,7346.0,17595.0,14869.926074247738,6.902742652475799,3.0,6.0,10.0,2032011.0,3.301065791474554,2.0,3.0,5.0,74377.22550025566,1252.0,15229.0,95457.0,0.00992760373836559,0.18454919781438192,0.0287459073794384,0.19299501823562962,0.8185063958807309,0.0804493676461397,0.4565339459284423,0.35242181267719513,0.05417834844397988,0.1157016374419233,0.24617238784632564,0.6208701626123087,0.0421961298437853,0.09781787598590756,22520,478138,68422,473115,5191130,263503,1575791,857970,120361,265377,725534,3315709,204691,464188
balance,20191.0,0.0,4499.0,12625.0,8058.358278440889,375510.0,3425.0,9740.0,17490.0,12170.242843066762,59066.0,2716.25,7812.0,14165.0,10100.387921985575,388596.0,4440.0,10666.0,18019.25,12644.14615950756,1665972.0,170.0,1301.0,4926.0,4592.457831224054,163075.0,386.0,1780.0,5287.0,3974.057728039246,934592.0,0.0,0.0,335.0,647.1777481510649,717339.0,61506.0,112800.0,191326.0,155946.2168821157,111197.0,9371.0,23914.0,43471.0,34922.93841560474,236824.0,0.0,19528.0,46000.0,37241.79355977435,497262.0,0.0,627.0,7170.0,9344.720652291951,1261573.0,0.0,0.0,368.0,476.87570200059764,69552.0,3892.0,8843.0,18923.5,16307.373145272602,217758.0,3123.0,8111.0,18726.0,15694.348023953196,6.902022185919937,3.0,6.0,10.0,2033542.0,3.3038447201975667,2.0,3.0,5.0,75492.01301079594,1190.0,15462.0,97175.0,0.009928981058665126,0.18465809902131355,0.029045871685954853,0.19109317633960843,0.8192464183183824,0.0801925900719041,0.45958824553414684,0.35275347152898734,0.054681437609845285,0.11645886831941508,0.24452998757832392,0.6203820722660265,0.03420239168898405,0.10708310917600915,22574,478387,69367,467673,5198629,260600,1598198,857191,121736,267098,716003,3308190,140415,529491
balance,20090.0,0.0,4326.5,12463.25,7945.5622697859635,376881.0,3363.0,9706.0,17457.0,12140.392651791944,59653.0,2715.0,7814.0,14062.0,10054.918947915445,388160.0,4341.0,10576.0,17901.0,12527.043126545754,1668099.0,146.0,1246.0,4781.0,4839.2753193905155,163306.0,320.0,1705.0,5259.0,3939.3004666086977,944326.0,0.0,0.0,314.0,643.7056419075616,717644.0,61550.0,113255.0,192463.25,156796.0973268083,112843.0,9576.0,24181.0,44099.0,35222.30834876776,237531.0,0.0,19415.0,46019.0,37282.55274890435,495576.0,0.0,604.0,7200.0,9402.581367943565,1255507.0,0.0,0.0,336.0,459.3979022020586,69160.0,3937.0,8924.0,18929.25,16412.36430017351,220001.0,3164.0,8173.0,18741.0,15575.74439661638,6.899860953475917,3.0,6.0,10.0,2035290.0,3.3060531914370923,2.0,3.0,5.0,75995.72707476576,1150.0,15356.0,97111.75,0.009870829218440616,0.1851731202924399,0.02930933675299343,0.19071483670631703,0.819587871998585,0.0802372143527458,0.46397614099219275,0.35260036653253346,0.05544320465388225,0.11670621876980676,0.2434915908789411,0.6168688491566312,0.03398041556731473,0.10809319556426848,22483,480342,70186,467581,5209764,265201,1628485,856630,123214,267787,712126,3270706,139451,529262
balance,19970.0,0.0,4110.5,12272.25,7813.774461692539,378302.0,3299.0,9690.0,17472.0,12109.86148896913,60556.0,2723.0,7837.0,14025.0,10030.93252526587,390243.0,4268.0,10496.0,17827.0,12463.03791996269,1667892.0,156.0,1261.0,4774.0,4494.808377281023,161777.0,315.0,1666.0,5159.0,3878.134110534872,948209.0,0.0,0.0,305.0,641.2736675142295,719147.0,61664.0,113750.0,193662.0,157743.77022639322,113969.0,9835.0,24516.0,44682.0,35629.619422825504,238725.0,0.0,19295.0,46111.0,37260.85885851922,494144.0,0.0,588.0,7219.0,9385.08466762725,1252586.0,0.0,0.0,331.0,454.2437541214735,65456.0,3967.75,9002.5,19224.75,16697.35715595209,222670.0,3145.25,8111.0,18600.0,15435.864934656667,6.888626400461473,3.0,6.0,10.0,2035222.0,3.3085560199329604,2.0,3.0,5.0,76195.08845079309,1173.0,15382.0,97445.75,0.00981219739173417,0.18587751115111767,0.029754002266091855,0.1917446843636714,0.819513546925102,0.0794886258108452,0.46589954314566173,0.3533506418464423,0.05599831369747379,0.11729678629653179,0.2427961175734146,0.6154542354593258,0.032161602026707654,0.10940821197884064,22360,482424,71435,467854,5195014,261490,1640909,858850,124450,269284,709814,3255286,132780,527934
