state,auto,credit_card,first_mortgage,he_revolving,other,student_loan
AZ,9150.071656184486,3897.7559119496855,76551.27767295597,1667.1440461215932,3220.4570440251573,6994.838280922432
CA,6845.647274090738,4173.957956505436,114699.58253093364,2452.289887514061,2686.9367904011997,5935.2942182227225
FL,8385.432474968811,4467.716848469338,59782.79904673555,2071.8784619813828,3693.798861200857,6852.626115607306
IL,7016.503501457489,4011.45724505557,62024.324061922955,1620.7769287049834,2560.1967551999255,7928.69114009314
MI,5704.535771251299,3468.832096814317,48845.54491710201,1680.1982820434025,3899.041105111433,7927.024101145792
NJ,5173.1253059075,4724.903038939314,81784.60459713145,3373.379805458319,3419.511647718472,8659.290046776741
NV,8932.125194952503,4313.175102793138,78432.67427572192,1643.2320525544685,3211.6733304976606,6119.102651354034
NY,4698.986441293525,4406.843704129655,64198.20303254997,3014.2987152520313,3645.543021654586,8151.828314392506
OH,7161.335774045574,3550.110466055867,45916.31382006688,2527.1763279919446,3587.131363359481,8484.929985952438
PA,6683.594790948132,3813.447575710376,50746.78200307069,3413.8156916846533,4050.0613359738322,8997.837898578136
TX,11276.160186259362,4187.606791730597,55850.42407150991,621.2658900513763,4232.958161143218,6970.879284259373
