,first_c
1.0,1974048
2.0,18976
3.0,10685
4.0,10038
5.0,18419
6.0,10885
7.0,16505
8.0,6588
9.0,8330
10.0,6973
11.0,7225
12.0,14462
13.0,7783
14.0,9970
15.0,9544
16.0,9610
17.0,12891
18.0,8820
19.0,8058
20.0,18517
21.0,8218
22.0,6518
23.0,9257
24.0,9357
25.0,6832
26.0,7979
27.0,8522
28.0,9705
29.0,11078
30.0,8882
31.0,6606
32.0,6556
33.0,4820
34.0,3911
35.0,4485
36.0,3996
37.0,7605
38.0,6168
39.0,6478
40.0,8218
41.0,5556
42.0,4242
43.0,12621
44.0,4101
45.0,3403
46.0,3270
47.0,4105
48.0,4043
49.0,3766
50.0,3448
51.0,5308
52.0,6030
53.0,8051
54.0,4485
55.0,4550
56.0,3004
57.0,2988
58.0,3434
59.0,2839
60.0,3273
61.0,2815
62.0,3184
63.0,7139
64.0,7263
65.0,5418
66.0,5445
67.0,4379
68.0,3268
69.0,3927
70.0,3276
71.0,3224
72.0,3684
73.0,3052
74.0,2921
75.0,3450
76.0,3404
77.0,3413
78.0,2704
79.0,2072
80.0,1955
81.0,2434
82.0,2738
83.0,2383
84.0,2226
85.0,2159
86.0,3856
87.0,5329
88.0,10264
89.0,3825
90.0,3554
91.0,3538
92.0,3113
93.0,2839
94.0,3800
95.0,3477
96.0,3056
97.0,3838
98.0,45166
99.0,8187
100.0,8963
101.0,6514
102.0,5135
103.0,5271
104.0,4205
105.0,4259
106.0,5142
107.0,4268
108.0,4281
109.0,5222
110.0,4889
111.0,7045
112.0,9961
113.0,6335
114.0,5993
115.0,4878
116.0,4047
117.0,4455
118.0,5818
119.0,5229
120.0,5684
121.0,4945
122.0,5315
123.0,8147
124.0,8123
125.0,6128
126.0,6196
127.0,4858
128.0,4191
129.0,5183
130.0,5240
131.0,5527
132.0,5398
133.0,4995
134.0,5879
135.0,7689
136.0,7814
137.0,6176
138.0,5416
139.0,5468
140.0,3810
141.0,3755
142.0,4395
143.0,4531
144.0,4216
145.0,4159
146.0,5286
147.0,7178
148.0,8476
149.0,5708
150.0,4798
151.0,5214
152.0,3923
153.0,3990
154.0,4211
155.0,4554
156.0,4233
157.0,5192
158.0,4268
159.0,7712
160.0,7658
161.0,5901
162.0,4337
163.0,4532
164.0,3998
165.0,4064
166.0,4851
167.0,3963
168.0,5018
169.0,4814
170.0,4598
171.0,8192
172.0,8272
173.0,7681
174.0,9252
175.0,4814
176.0,4188
177.0,5139
178.0,4265
179.0,2575
180.0,3738
181.0,3942
182.0,4862
183.0,6762
184.0,7375
185.0,5011
186.0,4851
187.0,4043
