,auto_bal,credit_card_bal,first_mortgage_bal,he_revolving_bal,student_loan_bal,other_bal
200509,9842380557.0,8668954154.0,104440661352.0,7852802954.0,3922602492.0,10305808632.0
200512,9536536489.0,8288130185.0,108419503410.0,8687710280.0,4124345810.0,10462030024.0
200603,9437980383.0,8649167603.0,112523778470.0,8855762037.0,4561758458.0,10644896407.0
200606,9550896713.0,8225785343.0,116367328857.0,9009531400.0,4620530244.0,11018626616.0
200609,9800762590.0,8420251067.0,119500821569.0,9099850043.0,4735310840.0,11632827783.0
200612,9904455431.0,8575622193.0,121973545889.0,9162565997.0,5084173844.0,11751510655.0
200703,9979108548.0,8428820388.0,124797475343.0,9256997673.0,5407957887.0,12361822514.0
200706,10067265651.0,8792327600.0,128725155658.0,9432500786.0,5490025967.0,12629040932.0
200709,10234777541.0,9001825294.0,131195120540.0,9549524896.0,5678097517.0,13059391011.0
200712,10265920934.0,9262277181.0,133979745839.0,9908645430.0,5930552717.0,13287644067.0
200803,10209030279.0,9248314684.0,135793115745.0,10165248194.0,6255566208.0,13087567976.0
200806,10205342572.0,9340628649.0,137367163206.0,10402636391.0,6313422313.0,12995369237.0
200809,10224411792.0,9472501724.0,137656021883.0,10701726772.0,6592324235.0,12872799597.0
200812,10059509725.0,9545969239.0,137810359645.0,10992667493.0,6919041243.0,12450047752.0
200903,9775477703.0,9487192453.0,135956214228.0,11229652921.0,7243953163.0,11763767867.0
200906,9537640756.0,9257900579.0,135386864752.0,11247567682.0,7370364308.0,11435052440.0
200909,9586875046.0,9158620225.0,134354210314.0,11193253797.0,7560715409.0,11048104996.0
200912,9464447077.0,9014798359.0,134067580739.0,11175739514.0,7892702377.0,10589661733.0
201003,9217456715.0,8639349912.0,134060226659.0,11063206270.0,8252674570.0,10186389662.0
201006,9156955414.0,8431682046.0,132288422178.0,10874609359.0,8319037902.0,9804140248.0
201009,9233080693.0,8300331896.0,130340437106.0,10818459792.0,8513207614.0,9912918834.0
201012,9320209237.0,8300061497.0,128322987133.0,10688555710.0,8840647093.0,9608522653.0
201103,9219242423.0,7922406085.0,129998690754.0,10251942890.0,9127936607.0,9270144094.0
201106,9326951632.0,7893660154.0,130172252116.0,10071391836.0,9250802379.0,8966077203.0
201109,9478894606.0,7909817811.0,128542940321.0,10313472983.0,9480275586.0,8902089814.0
201112,9532138635.0,8074301203.0,126578942296.0,10220133899.0,9639630052.0,8712093511.0
201203,9526017347.0,7786140453.0,125783262444.0,9993958783.0,9939740746.0,8484402510.0
201206,9710796917.0,7776625148.0,124936462841.0,9594218494.0,10161111294.0,8312000716.0
201209,9947365569.0,7797211919.0,123495686256.0,9420711913.0,10379662844.0,8221720992.0
201212,10116959769.0,7953878742.0,123326053386.0,9288100212.0,10454840951.0,7988769262.0
201303,10249742819.0,7688252379.0,122003310773.0,9011117603.0,10669236810.0,7833142085.0
201306,10467937596.0,7697307412.0,120206534536.0,8796937923.0,10691920402.0,7767811734.0
201309,10867372740.0,7856591147.0,121398809916.0,8630469562.0,11139166536.0,7742976600.0
201312,11058541708.0,7900988032.0,123852822485.0,8536731285.0,11634637953.0,7735025984.0
201403,11178012697.0,7668117960.0,125215039132.0,8433193790.0,11990643913.0,7711046032.0
201406,11504181360.0,7742911824.0,124553286803.0,8327981684.0,12037447602.0,7539562525.0
201409,11939665877.0,7872887456.0,124514288893.0,8243532817.0,12126890131.0,7558477446.0
201412,12097452822.0,8130871340.0,125255934379.0,8228772947.0,12448276661.0,7599194990.0
201503,12194581229.0,7870536421.0,125002216101.0,8134266944.0,12904801739.0,7494959506.0
