,auto_total,credit_card_total,first_mortgage_total,he_revolving_total,other_total,student_loan_total,inquiries_12_months,number_accounts_opened_within_12_months,mort_10%_orig_vant3,mort_25%_orig_vant3,mort_50%_orig_vant3,auto_10%_orig_vant3,auto_25%_orig_vant3,auto_50%_orig_vant3,Miscellaneous_perc,Current_perc,30 DPD_perc,60 DPD_perc,90 DPD_perc,120 DPD or Collections_perc,Foreclosure Started_perc,Closed-Positive_perc,Closed-Severe Derogatory_perc,Closed-Bankruptcy_perc,auto_derog_perc,credit_card_derog_perc,first_mortgage_derog_perc,he_revolving_derog_perc,other_derog_perc,student_loan_derog_perc,bankruptcy_new,foreclosure_new,perc_3rd_party_collection_accts,total_amount_3rd_party_collections,coll_perc,coll_amt,Unknown_total,18–24_total,25–34_total,35-44_total,45-54_total,55–64_total,65–74_total,75+_total,national_per_capita,AZ_per_capita,CA_per_capita,FL_per_capita,IL_per_capita,MI_per_capita,NJ_per_capita,NV_per_capita,NY_per_capita,OH_per_capita,PA_per_capita,TX_per_capita
200509,7883729733.5,7773926909.0,75015491294.5,5683572028.0,5286513881.0,3802008738.5,3555280.0,2423040.0,575.0,634.0,701.0,539.0,609.0,680.0,0.014636144340634864,0.9424742199854197,0.01472857347504735,0.004517122966626997,0.002200152902242954,0.006238719024927353,0.0024548536060559098,0.0,0.01045175310414623,0.0022984605948986278,0.02397556351999468,0.09641156461508481,0.01146691040951788,0.00243997717134236,0.0741799182462035,0.07585745768532509,143284.0,17937.0,0.2723025700886899,2743.139568772787,0.04392551305655576,7537.849951874599,982544496.5,2193635310.5,17613714981.0,30515151132.5,29023452649.5,17591973062.5,5581865043.5,1942905908.5,53072.4216231683,57546.14102834542,84905.612410758,52715.00234070323,56063.85644109426,50942.34064531275,62235.29483287689,71058.5747090864,47975.53483330006,43847.4086108805,40104.543708447774,39410.65078005696
200512,7569850494.0,7564743011.5,73559466440.0,6116856161.0,5319098259.5,3992656866.0,3609626.0,2485942.0,559.0,624.0,687.0,528.0,593.0,665.0,0.02078976326084427,0.9360363257665525,0.014463458396533811,0.004810162581058281,0.0023677305007925365,0.006436100856525517,0.0024718568103821426,0.0,0.010229147032991864,0.002395454794319044,0.02521563538821458,0.09378785233304551,0.011970749049930167,0.003097518643777048,0.07511407714388736,0.0724215254915422,9849.0,2220.0,0.26935158082772853,2756.3856635943757,0.04426430624568064,7468.200255201542,954149807.0,2228150130.0,17564871556.0,30168118582.0,28529062142.5,17324923039.5,5450005056.5,1903390918.5,51362.57348502301,56260.76671828623,81663.9035255725,51467.654276814275,52465.63660071942,48769.63245463033,60835.6320264641,70873.41130212143,47064.107167702256,42990.83195838877,38942.4752473993,38274.88405914962
200603,7497021068.5,7971548116.5,76575189298.0,6257816185.5,5282659660.0,4454418499.0,3670141.0,2511737.0,549.0,612.0,677.0,527.0,586.0,660.0,0.02171157423394798,0.9358663331348359,0.014424571481729216,0.004558969263402629,0.0022275970146005105,0.0062701378420702706,0.0026879612842236503,0.0,0.010094417266025031,0.002158438479164773,0.025807092007907435,0.0899144114825591,0.01171552168168693,0.0032781304838472073,0.07618474346310623,0.0677857054894563,2884.0,2238.0,0.27169216282667347,2829.7373530329637,0.04210947825616988,7904.057470392626,850937232.0,2323717775.0,18675453066.5,31063297000.0,29435856187.0,18042415832.0,5667900797.5,1979074937.5,53082.68248136629,59475.464681351856,85390.60545045807,57645.865012216775,54036.78870320377,49380.180581211,62720.4721933303,75162.51341088543,48578.5241157176,43430.746914919255,39984.17837783325,38430.57136119234
200606,7585868821.0,7539573222.0,79525198795.5,6372743529.0,5291398802.5,4509879567.5,3711653.0,2524551.0,562.0,623.0,686.0,529.0,592.0,666.0,0.012040361879201879,0.9438262123635276,0.01513560502298208,0.005068359385224969,0.0023411344423808246,0.006253305179384959,0.0030178528383360513,0.0,0.010216155407409097,0.0021010134815525315,0.02545505538738606,0.0986031384814635,0.01233286671841049,0.00337001095403725,0.0756518066283098,0.06938021588311516,3058.0,2059.0,0.2714044555277646,2843.841460228924,0.040630815094476115,8337.087969924813,801293943.0,2379697630.0,18566346777.5,32000590553.5,30438480567.5,18715982288.0,5864674051.5,2057596926.5,54170.18201016589,62004.101436334415,88349.51459093936,55646.90643522759,54940.145579214135,49746.40909553584,64153.713967394826,77722.41237082433,49632.678124386126,43798.111963134754,40458.910940850044,38720.51221483081
200609,7752036707.5,7730302828.0,81998258808.5,6377438410.0,5473592753.5,4621554495.0,3694524.0,2505647.0,578.0,637.0,702.0,543.0,605.0,676.0,0.012750280202509517,0.9399886865306899,0.01660803837616753,0.005751012525333408,0.002779585623452619,0.006639664368512957,0.003363264548988748,0.0,0.010078550990508556,0.00204091683383676,0.027785590758569043,0.09851029874815662,0.013276194108491879,0.004061541615107499,0.0733791018236008,0.0745585638712673,2491.0,2051.0,0.2710228158107039,2826.410606377092,0.041898676758508065,8779.527442880517,728009212.5,2472710703.0,19157175917.5,32842153069.5,31270296781.5,19277693861.5,6089659989.5,2115484467.5,55401.98449881688,64614.59192739976,90835.96918685854,58148.668343691425,55965.31471190751,49718.92247130845,65143.99793192243,80073.57092555331,51066.40825252992,44132.77476973763,41129.81380422371,39374.39587016923
200612,7854360921.5,7865233742.0,84028694585.5,6430722095.0,5251993070.5,4960459038.0,3703270.0,2510496.0,561.0,624.0,689.0,532.0,594.0,669.0,0.012397667811685255,0.9379241087474718,0.016555807276075713,0.006255420414033478,0.003113191915040029,0.0072304559890979175,0.003988552065843353,0.0,0.010458518403257122,0.002076277377495328,0.028836955643329994,0.10318026267502121,0.015186457861743382,0.005216657088335894,0.07690134156280395,0.07570384023398925,2816.0,2324.0,0.27294743528664445,2894.2742975329134,0.04297079127920848,9458.637496768682,724896122.5,2505549392.0,19426530162.5,33455238098.0,31973333876.0,19807232601.5,6310726407.5,2187956792.5,56212.93294256684,65825.42887274724,92584.52935797458,59719.79803293687,56608.990630804314,49530.60797383156,65434.23537774494,82165.71626226426,51934.363007809145,44343.256217707065,41742.1181410064,39420.259169438286
200703,7930962612.5,7742410105.0,86534072570.5,6515257714.0,5323033957.5,5274801221.0,3778189.0,2531459.0,560.0,622.0,687.0,522.0,581.0,658.0,0.012065053598084328,0.9357974391976724,0.017276096357206037,0.006127738590936819,0.0034701660821679753,0.007943639472746703,0.004991667181378314,0.0,0.010227936276601917,0.002100263243205478,0.029384960172764905,0.10390202883731124,0.017877782300603225,0.006862928829955413,0.0777070929478473,0.07310712334803261,3110.0,2897.0,0.2719685821971268,2848.1222014457553,0.04394967345718711,10281.59128086085,665898768.5,2584631424.0,19900815966.0,34050306752.0,32738825090.0,20524321288.0,6558151560.5,2297587331.5,56884.829801805034,68132.89092707046,94770.28706311116,61215.05430277459,56546.7103873137,49689.940256714515,66108.62672530013,84622.416472099,52518.934627058996,44752.76652061701,41380.79077707146,40257.93245406824
200706,8006844202.5,8094173136.0,88832207007.0,6416255489.5,5499295089.0,5355227205.5,3772085.0,2553932.0,562.0,624.0,689.0,537.0,599.0,670.0,0.011728960733880873,0.9329057814177698,0.01809130729333378,0.007212057028754579,0.003602013815664885,0.008451037580631694,0.0056766493315405,0.0,0.010034200186836525,0.0022979926115873845,0.029260168560148778,0.09939789648453104,0.019725321513873035,0.008004311328319963,0.07571734263412974,0.07746912111850639,2465.0,2390.0,0.2727407300603177,2915.3256305948444,0.044424368982781084,10995.598723435969,683058384.5,2601494479.0,20198227338.5,34740151553.0,33625202855.5,21162279695.5,6820544638.0,2373043185.5,57800.30324276515,70125.55917698919,95786.91160482442,63039.896390901384,57470.879655764336,50038.4212175085,67367.16387943916,85819.74421956985,53680.53557319907,44830.07149241458,42178.599519408104,40592.87773080781
200709,8073092227.5,8299382464.5,90808140315.5,6328646951.0,5598122001.5,5536113171.0,3755060.0,2532593.0,579.0,637.0,702.0,541.0,605.0,676.0,0.019062612291781238,0.9187918906682975,0.019707419946010725,0.008527221294849695,0.004362836822754326,0.009509599375683775,0.0074237094657853995,0.0,0.010391051469285817,0.002223658665551567,0.03223543942846651,0.09994367611662681,0.024694079690532344,0.01029988210824434,0.07706070167538488,0.07190138572042569,2496.0,3312.0,0.2739257693226933,2985.8951798899075,0.04455322373306895,12536.59223357448,897057035.5,2666501443.0,20526015636.5,35165105150.0,34228961813.0,21703351452.0,7049171312.0,2407333289.0,58734.9242136225,72245.20397036892,97854.01092879669,64526.47993994217,58397.81875754267,49640.78152714997,68929.52029254223,87996.10031992687,54407.43838706936,43743.164286819214,42473.757440315145,41263.615302149934
200712,8066274029.5,8547768817.0,92571550832.5,6552404916.5,5705875470.0,5782787646.5,3719924.0,2503146.0,573.0,633.0,698.0,538.0,601.0,673.0,0.012436481435642056,0.9179982662940847,0.020862384006493595,0.009559761292434217,0.005682186632676646,0.011780513410725087,0.008879809053367957,0.0,0.010602024810282166,0.002198573064293623,0.03535437891857453,0.10063195442175,0.030737333845130277,0.013708679583248402,0.07870032782191091,0.07788774446397095,2994.0,3505.0,0.2730362489329957,2972.8950918431783,0.04941155147301321,14169.522334934201,1007912550.0,2715354750.5,20658783203.0,35706596793.5,35030096285.0,22287250638.5,7341191794.5,2479475697.0,59431.88193845605,73504.71862533045,99087.23026905204,64850.43151216796,59045.303521647606,50054.131184354526,69118.55922257171,89182.10719127783,54796.41902135667,44000.810578811615,42987.35981799277,41828.89389562873
