,Unknown_count,18–24_count,25–34_count,35-44_count,45-54_count,55–64_count,65–74_count,75+_count,Unknown_SL_count,18–24_SL_count,25–34_SL_count,35-44_SL_count,45-54_SL_count,55–64_SL_count,65–74_SL_count,75+_SL_count,Unknown_SL_mean,18–24_SL_mean,25–34_SL_mean,35-44_SL_mean,45-54_SL_mean,55–64_SL_mean,65–74_SL_mean,75+_SL_mean,Unknown_SL_25%,18–24_SL_25%,25–34_SL_25%,35-44_SL_25%,45-54_SL_25%,55–64_SL_25%,65–74_SL_25%,75+_SL_25%,Unknown_SL_50%,18–24_SL_50%,25–34_SL_50%,35-44_SL_50%,45-54_SL_50%,55–64_SL_50%,65–74_SL_50%,75+_SL_50%,Unknown_SL_75%,18–24_SL_75%,25–34_SL_75%,35-44_SL_75%,45-54_SL_75%,55–64_SL_75%,65–74_SL_75%,75+_SL_75%,Unknown_SL_90%,18–24_SL_90%,25–34_SL_90%,35-44_SL_90%,45-54_SL_90%,55–64_SL_90%,65–74_SL_90%,75+_SL_90%,Unknown_SL_perc,18–24_SL_perc,25–34_SL_perc,35-44_SL_perc,45-54_SL_perc,55–64_SL_perc,65–74_SL_perc,75+_SL_perc
200507,68083.0,157894.0,330521.0,389386.0,390230.0,288661.0,175340.0,174608.0,9390.0,55873.0,88534.0,39905.0,30460.0,12277.0,2141.0,1020.0,10810.591267305645,11355.57231578759,18732.37076151535,18588.403558451322,16219.939297439265,15845.43707746192,12608.186361513312,13814.696078431372,2625.0,2750.0,4032.0,3612.0,3775.75,2946.0,2504.0,3402.25,5739.5,6678.0,10271.0,9206.0,8942.0,8052.0,7010.0,8272.0,12110.5,14910.0,22747.75,22185.0,19855.0,19430.0,15714.0,17077.0,23255.00000000001,25271.800000000003,44045.7,45473.2,38390.80000000002,38809.399999999994,30319.0,34023.3,0.13791989189665554,0.35386398469859526,0.26786195128297446,0.10248185605029457,0.07805653076390846,0.04253085799605766,0.01221056233603285,0.005841656739668286
200508,69863.0,158594.0,332161.0,391086.0,392970.0,291370.0,176874.0,176659.0,9455.0,55608.0,88978.0,40162.0,30624.0,12451.0,2154.0,1025.0,10813.833104177684,11264.91515609265,18767.238092562206,18708.095513171655,16223.563642894462,15828.064974700826,12740.0069637883,13578.559024390244,2625.0,2724.0,4054.0,3622.0,3760.75,2914.0,2504.5,3325.0,5777.0,6625.0,10306.5,9283.0,8891.0,8037.0,7005.5,8056.0,11947.5,14837.0,22770.0,22282.5,19859.5,19461.5,15807.75,16761.0,23306.600000000013,25077.300000000003,44114.0,45731.600000000006,38481.100000000006,38705.0,30504.600000000006,33326.40000000001,0.13533630104633354,0.3506311714188431,0.2678761203151484,0.10269352520928901,0.07792961294755325,0.04273260802416172,0.012178160724583602,0.005802138583372486
200509,67910.0,159798.0,331409.0,390421.0,392443.0,291699.0,176724.0,177487.0,9204.0,56540.0,89242.0,40718.0,31241.0,12663.0,2228.0,1048.0,10985.295197740114,11509.005040679165,18660.35176262298,18535.301684758582,16197.755193495726,15937.893469162125,12875.434021543986,13573.551526717558,2625.0,2799.0,3979.0,3526.0,3743.0,2912.0,2488.0,3483.25,5722.0,6864.0,10198.0,9139.5,8811.0,8043.0,7026.0,8184.5,12375.0,15058.5,22687.75,22285.25,19844.0,19615.0,15902.25,16531.0,23652.7,25731.299999999996,43949.700000000026,45307.30000000003,38485.0,38972.600000000006,31134.299999999996,32918.80000000001,0.1355323221911353,0.35382169989611884,0.269280556653561,0.10429254573908678,0.07960646514270862,0.04341118755977909,0.012607229351983884,0.0059046578059238145
200510,70158.0,160992.0,331344.0,390518.0,393213.0,292735.0,177293.0,178835.0,10199.0,58273.0,89783.0,41300.0,31894.0,12882.0,2275.0,1083.0,10604.40533385626,11565.915621299744,18827.28132274484,18573.93397094431,16246.455540227002,16063.050225120323,13056.123956043955,13508.047091412742,2625.0,2837.0,3976.0,3524.75,3748.0,2966.75,2554.5,3441.0,5307.0,6954.0,10246.0,9135.5,8814.5,8147.5,7035.0,8064.0,12224.5,15099.0,22875.0,22303.0,19980.75,19600.5,16162.5,16624.0,23704.400000000016,26125.0,44468.8,45383.1,38761.90000000001,39362.399999999994,32266.400000000012,32689.800000000007,0.14537187491091536,0.3619620850725502,0.2709661258390072,0.1057569689489345,0.08111125522299618,0.04400567065776214,0.012831865894310549,0.006055861548354628
200511,72641.0,162525.0,332820.0,392394.0,396002.0,295508.0,178700.0,181004.0,11382.0,60077.0,90848.0,42251.0,32701.0,13257.0,2366.0,1112.0,11012.450096643823,11299.872913094861,18777.61943025713,18604.962912120423,16224.509311641847,16031.141661009278,12985.160185967878,13373.242805755395,2158.25,2744.0,3958.0,3527.0,3733.0,2964.0,2500.0,3336.5,5224.0,6659.0,10226.0,9127.0,8726.0,8146.0,6932.5,7992.5,12848.0,14737.0,22821.0,22236.5,19939.0,19652.0,15788.5,16534.25,25261.599999999988,25640.800000000003,44238.3,45567.0,38823.0,39017.19999999999,31830.5,32992.9,0.15668837158078772,0.3696477465005384,0.27296436512228833,0.10767493896440822,0.0825778657683547,0.044861729631685096,0.013240067151650811,0.006143510640648825
200512,69602.0,165261.0,336398.0,395778.0,399540.0,298739.0,180349.0,183105.0,10644.0,61493.0,92119.0,42864.0,33159.0,13427.0,2412.0,1123.0,9908.002348741074,11161.78239799652,18799.02540192577,18672.924318775662,16218.311770560029,16126.027035078572,12767.685737976783,13594.902938557436,1750.0,2674.0,3927.0,3468.0,3685.0,2910.0,2441.25,3361.0,4446.0,6625.0,10187.0,9024.0,8657.0,8142.0,6871.0,7975.0,11375.0,14543.0,22830.5,22277.0,19901.0,19677.0,15653.0,16741.5,22660.000000000007,25470.800000000003,44524.59999999999,45991.40000000001,38776.600000000006,39699.6,32079.000000000004,33059.2,0.15292664003907933,0.37209625985562234,0.2738393212801503,0.10830313963888846,0.08299294188316564,0.04494558795470294,0.013374069165895015,0.0061330930340515
200601,69152.0,163547.0,336529.0,395018.0,400958.0,301274.0,181458.0,185632.0,10279.0,61015.0,92601.0,43235.0,33342.0,13795.0,2475.0,1149.0,9905.142620877517,11494.366303368024,19668.760402155483,19514.158528969583,16605.02915242037,16444.754693729614,12870.42101010101,13852.67362924282,1750.0,2750.0,4013.0,3592.0,3773.0,2967.5,2498.0,3362.0,4422.0,6680.0,10433.0,9373.0,8794.0,8268.0,7000.0,8000.0,11375.0,14877.0,23556.0,23119.5,20220.75,20117.5,15687.0,17000.0,22304.000000000022,26500.0,46447.0,47961.6,39558.50000000001,40893.6,32453.0,34029.40000000001,0.14864356779268856,0.3730731838554055,0.2751649932100948,0.10945070857530544,0.08315584175898723,0.045788883209304486,0.013639519888899911,0.006189665574900879
200602,66355.0,165598.0,336383.0,394971.0,401348.0,302322.0,181784.0,186495.0,8264.0,62666.0,92829.0,43739.0,34022.0,14251.0,2598.0,1267.0,12757.313407550822,12369.51265438994,20311.450678128604,20202.639406479342,17620.835547586856,17397.498701845485,13796.547729022324,14838.02999210734,2625.0,2907.0,4178.0,3789.5,4049.25,3234.5,2695.75,4001.0,6125.0,7125.0,10760.0,9905.0,9657.0,8900.0,7361.0,9063.0,14625.0,16025.75,24480.0,24088.0,21604.25,21378.5,17024.0,17668.5,29974.199999999997,28297.0,48020.2,49533.20000000007,41989.600000000035,43128.0,33315.8,35922.400000000016,0.12454223494838369,0.3784224447155159,0.2759622216342681,0.11073977583164334,0.08476932736677398,0.04713848148662684,0.014291686837125379,0.006793747821657417
200603,61360.0,166449.0,337521.0,395706.0,402504.0,303726.0,182296.0,187527.0,7569.0,63383.0,93693.0,44140.0,34322.0,14448.0,2619.0,1292.0,11856.863522261858,12422.668523105565,20098.37199150417,20088.721613049387,17658.053668201155,17471.880121816168,14108.964872088583,15007.816563467492,2625.0,2985.0,4194.0,3797.0,4063.0,3237.75,2726.5,4096.25,6100.0,7167.0,10821.0,10000.0,9815.5,9002.0,7683.0,9121.0,13702.0,16134.5,24352.0,24234.0,21742.25,21610.25,17375.0,17644.25,27082.59999999999,28210.40000000001,47425.60000000005,49350.699999999975,42183.900000000016,42895.8,33580.200000000004,35582.60000000009,0.12335397653194263,0.3807953186862042,0.27759161652163866,0.1115474620046196,0.08527120227376622,0.047569190652100905,0.01436674419625225,0.006889674553530958
200604,57870.0,167005.0,338211.0,395786.0,403293.0,304448.0,182615.0,187895.0,6698.0,63481.0,93972.0,44359.0,34416.0,14546.0,2632.0,1308.0,11725.29471484025,12382.48913848238,19841.779668411866,19967.584052841587,17599.16410971641,17356.84339337275,14214.335866261397,14958.75382262997,2625.0,2969.0,4091.75,3751.0,4042.0,3210.25,2721.75,4058.5,6125.0,7122.0,10614.5,9934.0,9767.5,9020.0,7672.5,9064.5,13694.75,16050.0,24030.25,24033.0,21640.0,21532.75,17427.75,17655.25,26587.9,28071.0,46860.700000000026,49072.80000000004,41906.0,42678.5,33591.0,35839.2,0.1157421807499568,0.3801143678332984,0.2778502177634672,0.1120782443037399,0.08533745936577129,0.04777827412234602,0.014412835747337295,0.006961334788046516
