,0
200507,2153426
200508,2213113
200509,2243067
200510,2283490
200511,2350587
200512,2430181
200601,2479482
200602,2515521
200603,2553970
200604,2585085
200605,2604272
200606,2655939
200607,2688163
200608,2726610
200609,2761598
200610,2778566
200611,2804389
200612,2858344
200701,2873706
200702,2902417
200703,2909280
200704,2887170
200705,2916092
200706,2913080
200707,2907900
200708,2938298
200709,2957743
200710,2981013
200711,3027370
200712,3063372
200801,3090300
200802,3129911
200803,3144043
200804,3155745
200805,3169069
200806,3169832
200807,3184562
200808,3202565
200809,3214094
200810,3223332
200811,3213022
200812,3236176
200901,3255637
200902,3260481
200903,3272219
200904,3274228
200905,3290892
200906,3294565
200907,3301152
200908,3308034
200909,3300164
200910,3308141
200911,3312570
200912,3327547
201001,3303445
201002,3297502
201003,3290343
201004,3283420
201005,3272513
201006,3256824
201007,3243420
201008,3226100
201009,3230571
201010,3231220
201011,3229921
201012,3250301
201101,3255369
201102,3247627
201103,3217521
201104,3164600
201105,3143995
201106,3166997
201107,3182438
201108,3196531
201109,3204491
201110,3214725
201111,3248194
201112,3270423
201201,3262232
201202,3271472
201203,3233793
201204,3215007
201205,3256544
201206,3286754
201207,3290835
201208,3308323
201209,3316139
201210,3324673
201211,3352824
201212,3380120
201301,3409529
201302,3416028
201303,3428845
201304,3401274
201305,3412784
201306,3381750
201307,3285243
201308,3297169
201309,3342173
201310,3377418
201311,3414288
201312,3445797
201401,3447529
201402,3433709
201403,3434628
201404,3441727
201405,3450964
201406,3464608
201407,3450090
201408,3464428
201409,3482602
201410,3496714
201411,3483001
201412,3486896
201501,3499435
201502,3510783
201503,3523657
201504,3547985
201505,3560461
201506,3579018
201507,3588914
201508,3579562
201509,3409073
201510,3422174
201511,3392836
201512,3390927
201601,3422511
201602,3404139
201603,3422756
201604,3391796
201605,3403320
201606,3382338
201607,3370273
201608,3398023
201609,3401685
201610,3403212
201611,3432666
201612,3437976
201701,3462975
201702,3308744
201703,3208527
201704,3219624
201705,3234031
201706,3248437
201707,3257519
201708,3262936
201709,3292496
201710,3271208
201711,3278418
201712,3298391
201801,3251756
201802,3252960
201803,3249037
201804,3271844
201805,3390292
201806,3395444
201807,3393019
201808,3346904
201809,3271358
201810,3239616
201811,3227613
201812,3219223
201901,3228308
201902,3223116
201903,3189201
201904,3156446
201905,3163433
201906,3166109
201907,3148340
201908,3140877
201909,3119618
201910,3085729
201911,3084047
201912,3106131
202001,3102421
202002,3107527
202003,3093135
202004,3046335
202005,2921866
202006,2880338
202007,2868745
202008,2849597
202009,2848052
202010,2788402
202011,2779339
202012,2781513
202101,2759027
202102,2749475
202103,2746871
202104,2715240
202105,2690344
202106,2705216
202107,2698154
202108,2668802
