,Unknown_mort_perc,18–24_mort_perc,25–34_mort_perc,35-44_mort_perc,45-54_mort_perc,55–64_mort_perc,65–74_mort_perc,75+_mort_perc,Unknown_mort_ever,18–24_mort_ever,25–34_mort_ever,35-44_mort_ever,45-54_mort_ever,55–64_mort_ever,65–74_mort_ever,75+_mort_ever,all_mort_ever,Unknown_perc_joint,18–24_perc_joint,25–34_perc_joint,35-44_perc_joint,45-54_perc_joint,55–64_perc_joint,65–74_perc_joint,75+_perc_joint,Unknown_mort_per_capita,18–24_mort_per_capita,25–34_mort_per_capita,35-44_mort_per_capita,45-54_mort_per_capita,55–64_mort_per_capita,65–74_mort_per_capita,75+_mort_per_capita,all_mort_per_capita,all_perc_joint
200507,0.12260035544849669,0.05314958136471303,0.3219341584952242,0.5020519484521786,0.5144607026625323,0.4268778948316537,0.2534789551728071,0.09784775038944378,0.12351100862182923,0.05321924835649233,0.322003745601641,0.5021700831565593,0.5145734566793942,0.42703378703738987,0.2536215353028402,0.09800238247961147,0.3567239557142951,0.35389960464837666,0.29647283126787416,0.33462398736913335,0.36335502220039695,0.3750535470566553,0.37501927399917223,0.36127798402519967,0.31173544044483464,12343.895377700748,5142.195694579908,41110.438005452,69150.72397312692,63485.83817235989,48435.0547077714,23560.264697159804,7564.655491157335,43739.711491687696,0.36209717275345527
200508,0.1262184561212659,0.05228444960086762,0.3207691450832578,0.5012554783346885,0.5139221823548872,0.42688677626385696,0.25401698384160476,0.0978099049581397,0.12869473111661395,0.05305370947198507,0.3244902321464591,0.505783894079563,0.5184950505127618,0.43146857946940315,0.2574035754265748,0.09977980176498226,0.359683490510797,0.6000226808800182,0.5024119633381573,0.5549006541713986,0.5871736535498944,0.5906781675216384,0.5796417488060973,0.5507133477264128,0.4824353261184096,10550.613286002605,4415.57796637956,34609.323960368616,58209.12793861197,53737.91984120925,41686.438013522325,20610.4054807377,6661.549182323007,37085.19932277062,0.5762943760351408
200509,0.12298630540421146,0.05257262293645728,0.32171425640220996,0.5018710571408812,0.514217351309617,0.42724178005409685,0.25448722301441795,0.0974324880132066,0.1266529229863054,0.05364272393897295,0.3280146284500421,0.5100007427879135,0.5224402015069705,0.43562027980898116,0.26101152078947965,0.1009989464017083,0.36276938725513624,0.6376915708812261,0.5207713367456255,0.5799247788855645,0.615690437427593,0.6216768004122873,0.6121274854364258,0.5875172321785921,0.5235066211761985,9978.494522161685,4407.269978347664,34371.962321481915,57293.815862876225,52562.90663867109,40500.25796111745,19998.19735859306,6424.22079363559,36349.078323710906,0.6064756421899783
200510,0.12497505630149092,0.052338004372888096,0.3223990776956879,0.5025453372187709,0.5150719838865958,0.4275812595009138,0.2546575442910888,0.09698325271898678,0.13009207788135352,0.053903299542834425,0.33179414747211355,0.5145038128844253,0.5273019966277819,0.4403983124669069,0.26493995814837584,0.102491123102301,0.36601342898157874,0.6719890510948905,0.5436743413244719,0.6094921600748888,0.6542167508267389,0.6671554758977549,0.6629410072862073,0.6460829697224745,0.585505073800738,9922.039254254682,4388.065059133373,34076.15237034623,56209.39372833006,51248.8229941533,39186.11331408953,19213.640369332123,6204.479609696088,35478.703105326684,0.6494314998888053
200511,0.12791674123428917,0.051635133056452856,0.3206748392524488,0.5010270289555906,0.5137145771991051,0.42670249197991256,0.25351426972579744,0.09636803606550132,0.13401522556132212,0.05377018920166128,0.33286461150171265,0.5167331814451801,0.5295124772097111,0.4431893552797217,0.26695019585898155,0.1033347329340788,0.3674116148686067,0.6748816185966423,0.5456387035271687,0.6126659608159135,0.6590233977619532,0.6726473711117228,0.6700477421606104,0.6559609738869391,0.5966863498251448,10399.616057047673,4343.667411167513,34135.33803257016,56880.17155206247,51318.31810445402,39511.067257062416,19121.4752881925,6074.343285231265,35621.61918906101,0.6550751945581207
200512,0.11985287779086808,0.05143379260684614,0.3183342350430145,0.49794834477914385,0.5112379236121539,0.4242131091019251,0.2524106038846902,0.09572103437918135,0.1272233556506997,0.05425357464858618,0.33435394978567057,0.51847500366367,0.5318691495219502,0.44577708300556673,0.26943869941058723,0.10448103547145081,0.3691375866780496,0.7107408295372812,0.560235294117647,0.6350444031488416,0.6865945797835363,0.7004846763928326,0.6959575156436175,0.6814726945213303,0.6160780510070177,9258.67340018965,4280.179643109989,33544.3040951492,55509.22680391533,50548.999146518494,38663.77838514556,18995.97975591769,6003.312973430546,34936.012875769185,0.6812266098310034
200601,0.11827568255437297,0.050193522351373,0.315577557951915,0.49660774952027503,0.5113528100200021,0.4256855885340255,0.25503973371248445,0.0961202809860369,0.12534706154558076,0.05338526539771442,0.33414059412413194,0.5206142504898511,0.5355174357413993,0.4509283907672086,0.27509947205413926,0.10652796931563524,0.37164530519756406,0.7128010759261524,0.5603605798513827,0.6332332087268482,0.6860054340899938,0.70045017582707,0.6975001559478511,0.6816698718641284,0.6209157652861066,8979.434101689032,4235.756265782925,33629.40734676655,56201.36821613192,51218.968036552455,39033.44213573026,19388.06484696183,6201.478462765041,35306.0445999347,0.6813375242090095
200602,0.12817421445256574,0.04971074529885627,0.31557183329716426,0.49682381744482507,0.5115136988349263,0.42576788986577224,0.25533600316859567,0.0955467975012735,0.13730690980333057,0.05296561552675757,0.3347939699687559,0.5224079742563378,0.5377104158984223,0.4536917591177619,0.27778572371605864,0.10730046381940535,0.37357216979092556,0.69782480893592,0.5550291545189504,0.6290354488332878,0.6829349083478146,0.6980735039820746,0.6956160318212541,0.6805842812823164,0.6206857848364106,10587.056453922085,4244.0947716759865,34628.61753120699,57449.12924746374,52096.922568444345,39805.54603369917,19621.047952515073,6211.328995415427,36070.547569937145,0.6785773032047618
200603,0.12099087353324642,0.048849797835973784,0.31417008126901735,0.49613096591914196,0.510963866197603,0.42646332549732324,0.255677579321543,0.09578354050350082,0.13091590612777054,0.05242446635305709,0.33523543720242593,0.5243741565707875,0.540213264961342,0.45739910313901344,0.2804888752358801,0.1088003327520837,0.37568461662696134,0.7130926724137931,0.5531914893617021,0.6289289789605711,0.6837185847739937,0.7001531616949894,0.6964208510901118,0.6825505803600163,0.6219797349961029,9530.575342242504,4221.834489843736,34679.81420415323,57713.00676259647,52073.78040715124,40188.23484324687,19920.174660990917,6282.536978675071,36230.96244346712,0.6798294504514547
200604,0.12127181613962329,0.049148229094937275,0.3143126628051719,0.4966800240534026,0.5112660026333212,0.42735705276434727,0.2560468745721874,0.09594720455573591,0.13162260238465526,0.05281279003622646,0.3364526878191425,0.5267644636242818,0.5427393979067329,0.46073221042673956,0.28320784163403884,0.11029032172223849,0.3781352426927584,0.7093188942718723,0.5517787524366472,0.6273611529199278,0.682224449203628,0.6995004607400941,0.6959679650751683,0.68206510115916,0.6217550477035723,9364.918265076896,4361.571168527888,34911.86425633702,58261.42228881264,52520.94443741895,40598.201160789366,19886.553388275883,6434.47947523883,36580.483199590795,0.6788038815728185
