,first_bal,last_bal,diff
1.0,102972044273.0,2279166013.0,100692878260.0
2.0,5549429368.0,523198266.0,5026231102.0
3.0,4899602783.0,385864081.0,4513738702.0
4.0,4682858071.0,281745321.0,4401112750.0
5.0,4249574552.0,312528249.0,3937046303.0
6.0,4538112180.0,329908832.0,4208203348.0
7.0,3761451774.0,395545229.0,3365906545.0
8.0,3702723892.0,374928221.0,3327795671.0
9.0,3274488484.0,332252237.0,2942236247.0
10.0,3476256958.0,338629126.0,3137627832.0
11.0,3383006756.0,281735952.0,3101270804.0
12.0,4235823919.0,464017493.0,3771806426.0
13.0,3955477883.0,230070722.0,3725407161.0
14.0,3682366467.0,1269527564.0,2412838903.0
15.0,4067437901.0,626178969.0,3441258932.0
16.0,3795710681.0,369619805.0,3426090876.0
17.0,3373351995.0,387126267.0,2986225728.0
18.0,3155519603.0,428434254.0,2727085349.0
19.0,4689954431.0,546948685.0,4143005746.0
20.0,3383360487.0,676649903.0,2706710584.0
21.0,4138189691.0,358852583.0,3779337108.0
22.0,3069787913.0,309842351.0,2759945562.0
23.0,3763660164.0,537319452.0,3226340712.0
24.0,3960911852.0,384593879.0,3576317973.0
25.0,3790435267.0,508162558.0,3282272709.0
26.0,3167826243.0,334512091.0,2833314152.0
27.0,3985548739.0,385928495.0,3599620244.0
28.0,4430256175.0,358701145.0,4071555030.0
29.0,3020681751.0,377921182.0,2642760569.0
30.0,2305328034.0,465424264.0,1839903770.0
31.0,3343263030.0,356401344.0,2986861686.0
32.0,2361296949.0,370831071.0,1990465878.0
33.0,2091441517.0,447607015.0,1643834502.0
34.0,2839211534.0,332881278.0,2506330256.0
35.0,2670810063.0,347200374.0,2323609689.0
36.0,4088257216.0,411816717.0,3676440499.0
37.0,2414600579.0,885223866.0,1529376713.0
38.0,3074624265.0,571829643.0,2502794622.0
39.0,2094019805.0,281384502.0,1812635303.0
40.0,2019548254.0,321730786.0,1697817468.0
41.0,1969453249.0,297377578.0,1672075671.0
42.0,1604090583.0,892271609.0,711818974.0
43.0,2095083771.0,466497929.0,1628585842.0
44.0,2142543186.0,420202590.0,1722340596.0
45.0,2388354118.0,413287652.0,1975066466.0
46.0,2854004243.0,537926116.0,2316078127.0
47.0,3160112410.0,393462979.0,2766649431.0
48.0,3094517374.0,4221791808.0,-1127274434.0
49.0,6832113499.0,4026049802.0,2806063697.0
50.0,6400676140.0,502810182.0,5897865958.0
51.0,2880798908.0,1974561839.0,906237069.0
52.0,4332429591.0,432487422.0,3899942169.0
53.0,1958181755.0,382013710.0,1576168045.0
54.0,2814903193.0,2542546494.0,272356699.0
55.0,4413008755.0,466973200.0,3946035555.0
56.0,2233155106.0,484914533.0,1748240573.0
57.0,2393604447.0,472186026.0,1921418421.0
58.0,2396517152.0,284864217.0,2111652935.0
59.0,2243754335.0,428252578.0,1815501757.0
60.0,1841131221.0,462353532.0,1378777689.0
61.0,2318670192.0,411032356.0,1907637836.0
62.0,2088296306.0,391376592.0,1696919714.0
63.0,2470248150.0,362315322.0,2107932828.0
64.0,2658548706.0,374827419.0,2283721287.0
65.0,2656038398.0,405562557.0,2250475841.0
66.0,3365009312.0,421407188.0,2943602124.0
67.0,3044856063.0,307817041.0,2737039022.0
68.0,3283190753.0,448985337.0,2834205416.0
69.0,2600959742.0,322144917.0,2278814825.0
70.0,1959716057.0,315914517.0,1643801540.0
71.0,2208087053.0,357501568.0,1850585485.0
72.0,2022481167.0,302440492.0,1720040675.0
73.0,1101676973.0,338361260.0,763315713.0
74.0,2375897129.0,343495583.0,2032401546.0
75.0,1777087989.0,246358178.0,1530729811.0
76.0,2181167914.0,464944878.0,1716223036.0
77.0,3007741710.0,811915715.0,2195825995.0
78.0,2950299600.0,406511616.0,2543787984.0
